r_over_d,F,Frms,T,Trms,YO2,YO2rms,YN2,YN2rms,YH2,YH2rms,YH2O,YH2Orms,YCH4,YCH4rms,YCO,YCOrms,YCO2,YCO2rms,YOH,YOHrms,YNO,YNOrms,YCOLIF,YCOrms2,TNDR,source_file,axial_location
,,,,,,,,,,,,,,,,,,,,,,,,,,D01,1.0
-0.6,0.6058,0.0996,1471.0,258.0,0.0836,0.0373,0.685,0.0187,0.00088,0.000291,0.0712,0.0208,0.0568,0.0247,0.0224,0.00738,0.0809,0.0204,0.000663,0.000466,9.83e-06,3.8e-06,0.0211,0.00629,0.0,D01,1.0
-0.53,0.7889,0.0859,780.0,232.0,0.165,0.0258,0.661,0.0123,0.000394,0.000223,0.0271,0.0133,0.109,0.02,0.00681,0.00683,0.0301,0.0174,5.58e-05,7.77e-05,3.28e-06,1.62e-06,0.00675,0.00469,0.0,D01,1.0
-0.46,0.9418,0.0658,406.0,85.0,0.193,0.00848,0.65,0.00827,7.03e-05,6.27e-05,0.00713,0.00507,0.144,0.0122,0.0,0.0015,0.00485,0.00544,0.0,1.1e-05,8.38e-07,5.19e-07,0.000948,0.000966,0.0,D01,1.0
-0.39,1.0083,0.0354,306.0,17.0,0.195,0.00445,0.646,0.00591,8.63e-06,1.62e-05,0.00124,0.000993,0.157,0.00557,0.0,0.000979,0.000165,0.00106,0.0,7.98e-07,2.22e-07,1.69e-07,0.00014,0.000203,0.0,D01,1.0
-0.04,1.0051,0.0297,288.0,3.0,0.196,0.00429,0.647,0.00559,7.24e-07,1.36e-05,0.000489,0.000149,0.157,0.00458,8.48e-05,0.000909,0.0,0.000812,2.03e-07,7.28e-07,9.9e-08,8.61e-08,4.35e-05,6.85e-05,0.0,D01,1.0
0.38,1.0143,0.0348,302.0,15.0,0.194,0.00518,0.646,0.00575,1.11e-05,1.93e-05,0.00104,0.000828,0.158,0.00538,0.000283,0.00101,0.000547,0.00142,3.27e-07,7.57e-07,1.26e-07,1.23e-07,0.000116,0.000124,0.0,D01,1.0
0.44,0.9834,0.0583,393.0,82.0,0.18,0.0128,0.654,0.0103,9.84e-05,8.04e-05,0.00722,0.00604,0.15,0.0111,0.00184,0.00194,0.00737,0.00656,4.08e-06,1.58e-05,6.03e-07,4.73e-07,0.000849,0.00084,0.0,D01,1.0
0.51,0.8486,0.1109,690.0,229.0,0.14,0.0283,0.678,0.0181,0.0004,0.00022,0.0284,0.0153,0.119,0.0247,0.00906,0.00618,0.0289,0.0168,6.36e-05,8.66e-05,2.87e-06,1.83e-06,0.00519,0.00404,0.0,D01,1.0
0.58,0.567,0.1104,1385.0,288.0,0.0647,0.0276,0.71,0.0125,0.000805,0.000274,0.0736,0.0196,0.051,0.0272,0.0223,0.00696,0.0782,0.021,0.000931,0.000514,1.04e-05,4.14e-06,0.0207,0.00772,0.0,D01,1.0
0.65,0.3378,0.0277,1877.0,55.0,0.04,0.00639,0.723,0.0104,0.000461,0.000241,0.1,0.00599,0.00493,0.00388,0.0142,0.00573,0.111,0.00673,0.00275,0.000354,1.85e-05,2.08e-06,0.0175,0.00409,0.0,D01,1.0
0.72,0.2806,0.0142,1893.0,40.0,0.0505,0.00601,0.734,0.00981,0.000168,0.000178,0.0953,0.00561,0.00105,0.00117,0.0045,0.00412,0.11,0.00651,0.00264,0.000197,1.61e-05,1.93e-06,0.00657,0.00155,0.0,D01,1.0
0.79,0.2712,0.0124,1887.0,41.0,0.0527,0.00624,0.736,0.00915,9.66e-05,0.00014,0.0928,0.00546,0.000881,0.000971,0.00298,0.00365,0.111,0.00624,0.00228,0.000156,1.52e-05,1.72e-06,0.00425,0.00116,0.0,D01,1.0
0.93,0.2688,0.0138,1881.0,42.0,0.0524,0.0066,0.737,0.01,8.28e-05,0.000137,0.0925,0.00563,0.000672,0.000935,0.00209,0.00353,0.112,0.0069,0.00203,0.000146,1.47e-05,1.59e-06,0.00338,0.000983,0.0,D01,1.0
1.07,0.2612,0.0118,1807.0,47.0,0.0581,0.00645,0.737,0.00898,4e-05,0.000132,0.0911,0.00528,0.000597,0.000885,0.00199,0.00328,0.109,0.00623,0.00169,0.00014,1.34e-05,1.7e-06,0.00285,0.000842,0.0,D01,1.0
1.21,0.2063,0.0205,1499.0,87.0,0.097,0.0141,0.738,0.00807,3.81e-05,9.96e-05,0.0736,0.00704,0.000187,0.000578,0.000865,0.00272,0.0889,0.00952,0.000755,0.000194,8.82e-06,1.56e-06,0.00142,0.000582,0.0,D01,1.0
1.35,0.0813,0.0257,872.0,144.0,0.182,0.0179,0.75,0.0071,2.26e-05,4.39e-05,0.0347,0.00785,2.97e-05,0.000212,0.000274,0.00174,0.0326,0.0121,6.12e-05,4.3e-05,2.98e-06,1.02e-06,0.000804,0.000268,0.0,D01,1.0
1.49,0.013,0.0086,433.0,63.0,0.225,0.0071,0.759,0.00511,1.61e-05,1.32e-05,0.0121,0.00337,0.0,8.55e-05,0.0,0.000698,0.0035,0.00318,1.44e-08,1.23e-06,4.5e-07,3.07e-07,0.000175,0.000112,0.0,D01,1.0
1.62,0.0002,0.0011,330.0,14.0,0.23,0.00416,0.763,0.00409,8.15e-06,7.15e-06,0.0063,0.000549,0.0,6.56e-05,0.0,0.000476,6.25e-05,0.000429,5.09e-08,1.29e-07,1.48e-07,1.36e-07,3.05e-05,4.29e-05,0.0,D01,1.0
1.9,0.0,0.001,300.0,9.0,0.231,0.00405,0.763,0.00411,5.85e-06,6.13e-06,0.00603,0.000483,2.86e-06,6.1e-05,0.0,0.000391,0.0,0.000362,1.02e-09,1.15e-07,1.39e-07,1.25e-07,2.62e-05,4.26e-05,0.0,D01,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,D02,2.0
-0.67,0.5611,0.1079,1666.0,254.0,0.054,0.0352,0.694,0.0212,0.00136,0.000402,0.0888,0.0204,0.0407,0.0251,0.0315,0.00965,0.091,0.0184,0.00081,0.000636,2.26e-05,7.51e-06,0.0294,0.00715,0.0,D02,2.0
-0.6,0.7228,0.0856,1125.0,325.0,0.121,0.0419,0.669,0.0142,0.00107,0.000459,0.0504,0.0225,0.0845,0.0253,0.021,0.0121,0.0542,0.0246,0.000127,0.00016,1.05e-05,5.8e-06,0.0194,0.00988,0.0,D02,2.0
-0.53,0.81,0.0842,723.0,246.0,0.163,0.0274,0.663,0.0116,0.000532,0.00035,0.0258,0.0149,0.113,0.0207,0.00806,0.00818,0.0261,0.0173,2.1e-05,3.89e-05,4.48e-06,2.86e-06,0.00843,0.00646,0.0,D02,2.0
